detected_language,url,response_code,num_links,response_type,declared_language
en,https://zh-yue.wikipedia.org/wiki/Wikipedia:%E5%9F%8E%E5%B8%82%E8%AB%96%E5%A3%87_(%E6%94%BF%E7%AD%96),200,118,HTML,yue
en,https://en.wikipedia.org/wiki/Special:Contributions/%E8%88%89%E9%A0%AD%E4%B8%83%E5%B0%BA%E6%9C%89%E9%99%BD%E5%85%B72,200,68,HTML,en
zh,https://zh.wikipedia.org/wiki/Minecraft,200,1892,HTML,zh
en,https://zh.wikipedia.org/wiki/Category:%E8%AE%A8%E8%AE%BA%E9%A1%B5%E5%AD%98%E6%A1%A3,200,278,HTML,zh
en,https://en.wikipedia.org/wiki/Special:Contributions/J.delanoy,200,376,HTML,en
en,https://zh.wikipedia.org/wiki/PlayStation_VR,200,409,HTML,zh
en,https://en.wikipedia.org/wiki/Special:Contributions/Anotherclown,200,314,HTML,en
en,https://meta.wikimedia.org/wiki/Special:CentralAuth/Anotherclown,200,185,HTML,en
en,https://en.wikipedia.org/wiki/Website,200,545,HTML,en
,https://wa.wikipedia.org/wiki/Categoreye:Djermons_plantes,200,135,HTML,wa
zh_Hant,https://zh-yue.wikipedia.org/wiki/Category:%E6%A4%8D%E7%89%A9%E6%A5%94%E9%A1%9E,200,188,HTML,yue
zh,https://zh.wikipedia.org/wiki/Wikipedia:TW,200,186,HTML,zh
th,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%8A%E0%B8%B1%E0%B8%99_%E0%B8%A7%E0%B8%B5%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B9%8C,200,123,HTML,th
en,https://en.wikipedia.org/wiki/Special:UserRights/Anotherclown,200,69,HTML,en
,https://tr.wikipedia.org/wiki/PlayStation_VR,200,161,HTML,tr
fr,https://meta.wikimedia.org/wiki/Privacy_policy/fr,200,345,HTML,en
en,https://zh-yue.wikipedia.org/wiki/Wikipedia:VPT,200,171,HTML,yue
,https://meta.wikimedia.org/wiki/Special:RecentChangesLinked/Privacy_policy/fr,404,,SpiderException -- Ignoring non-200 response,
en,https://en.wikipedia.org/wiki/Programming_language_implementation,200,101,HTML,en
en,https://zh-yue.wikipedia.org/wiki/Wikipedia:Twinkle,200,85,HTML,yue
en,https://en.wikipedia.org/wiki/Programming_language,200,1051,HTML,en
tr,https://tr.wikipedia.org/wiki/Head-up_display,200,169,HTML,tr
ja,https://ja.wikipedia.org/wiki/Category:%E9%81%8E%E5%8E%BB%E3%83%AD%E3%82%B0%E3%83%9A%E3%83%BC%E3%82%B8,200,269,HTML,ja
en,https://zh.wikipedia.org/wiki/File:Chocolate_chip_cookies.jpg,200,231,HTML,zh
en,https://meta.wikimedia.org/wiki/Special:WhatLinksHere/Privacy_policy/fr,200,160,HTML,en
